Brand;Article;Name;Color;Gender;Segment HQ;Type;Concept;Fit;RRP
G-Star RAW;D03605-K027-2990;Effo long beanie;black;Men;ACCs;Beanie;Effo;No;2590
G-Star RAW;D03650-3127-8543;Cart belt;black;Men;ACCs;Belt;No;No;4290
G-Star RAW;D07159-3128-8131;Rikku logo pin belt;black;Men;ACCs;Belt;No;No;5090
G-Star RAW;D08374-3128-8543;Estan belt;black;Men;ACCs;Belt;Estan;No;4290
G-Star RAW;D08468-8920-6484;Obaruh snapback cap;black;Men;ACCs;Cap;No;No;2590
G-Star RAW;D09161-A230-8673;Avernus baseball cap ao;black;Men;ACCs;Baseball cap;No;No;3390
G-Star RAW;D10029-9909-9872;Barran duffle bag big;black;Men;ACCs;Travel bag;No;No;9290
G-Star RAW;D09168-9983-990;Caisa backpack wmn;black;Women;ACCs;Backpack;Caisa;No;7590
G-Star RAW;D10034-A310-1736;Doeka scarf ao;black;Women;ACCs;Scarf;No;No;3390
G-Star RAW;D03605-K027-990;Effo long beanie;black;Men;ACCs;Beanie;Effo;No;2590
G-Star RAW;D04169-3127-406;Zed Belt;black;Men;ACCs;Belt;Zed;No;3390
G-Star RAW;D10745-4426-990;Wyddo beanie;black;Men;ACCs;Beanie;Wyddo;No;2990
G-Star RAW;D06838-3127-8129;Dorala pin belt wmn;black;Women;ACCs;Belt;Dorala;No;3390
G-Star RAW;D06838-3127-9465;Dorala pin belt wmn;black;Women;ACCs;Belt;Dorala;No;3390
G-Star RAW;D09582-A151-6484;Venetio beanie wmn;black;Women;ACCs;Beanie;Venetio;No;3390
G-Star RAW;D09583-A410-990;Luza hat wmn;black;Women;ACCs;Hat;Luza;No;3390
G-Star RAW;D09160-9951-6484;Vaan beanie;black;Men;ACCs;Beanie;Vaan;No;2190
G-Star RAW;D11370-6620-A001;Originals effo scarf;black;Men;ACCs;Accessories;UOTF;No;4290
G-Star RAW;D01979-7999-2727;Zioks webbing belt;blue;Men;ACCs;Belt;No;No;3390
G-Star RAW;D08468-8920-6067;Obaruh snapback cap;blue;Men;ACCs;Cap;No;No;2590
G-Star RAW;D10031-A308-9442;Vaan baseball cap ao;blue;Men;ACCs;Baseball cap;No;No;3390
G-Star RAW;D09160-9951-1855;Vaan beanie;blue;Men;ACCs;Beanie;Vaan;No;2190
G-Star RAW;D11370-6620-A007;Originals effo scarf;blue;Men;ACCs;Accessories;UOTF;No;4290
G-Star RAW;D09582-A151-3383;Venetio beanie wmn;beige;Women;ACCs;Beanie;Venetio;No;3390
G-Star RAW;D10752-2340-3383;Khoma gloves wmn;beige;Women;ACCs;Gloves;Khoma;No;5990
G-Star RAW;D10752-2340-5666;Khoma gloves wmn;red;Women;ACCs;Gloves;Khoma;No;5990
G-Star RAW;D09075-9953-7396;Cart trucker cap ao;green;Men;ACCs;Cap;No;No;2990
G-Star RAW;D09157-9909-2688;Vaan backpack;green;Men;ACCs;Backpack;No;No;8490
G-Star RAW;D10026-9751-1471;Caisa small wallet wmn;green;Women;ACCs;Wallet;Caisa;No;3390
G-Star RAW;D09615-A230-9608;Avernus baseball cap ao;green;Men;ACCs;Baseball cap;Avernus;No;3390
G-Star RAW;D09618-A225-9608;Effo long beanie ao;green;Men;ACCs;Beanie;Effo;No;2590
G-Star RAW;D09785-A245-9608;Estan detachable backpack ao;green;Men;ACCs;Backpack;Estan;No;9290
G-Star RAW;D09610-A221-9608;Cart scarf ao;green;Men;ACCs;Scarf;Cart;No;5090
G-Star RAW;D09681-9620-906;Cart beanie;grey;Men;ACCs;Beanie;Cart;No;2190
G-Star RAW;D05174-7999-941;Xemy webbing belt;beige;Men;ACCs;Belt;No;No;3390
G-Star RAW;D10395-A151-1359;Venetio beanie wmn;red;Women;ACCs;Beanie;Venetio;No;3390
G-Star RAW;D11357-A151-1359;Venetio scarf wmn;red;Women;ACCs;Accessories;Venetio;No;5990
G-Star RAW;D03188-6620-9988;Dorala scarf wmn;red;Women;ACCs;Accessories;Dorala;No;3390
G-Star RAW;D09681-9620-3360;Cart beanie;beige;Men;ACCs;Beanie;Cart;No;2190
G-Star RAW;D03605-K027-6485;Effo long beanie;red;Men;ACCs;Beanie;Effo;No;2590
G-Star RAW;D09681-9620-6532;Cart beanie;red;Men;ACCs;Beanie;Cart;No;2190
G-Star RAW;D03605-K027-9700;Effo long beanie;red;Men;ACCs;Beanie;Effo;No;2590
G-Star RAW;D10395-A151-9700;Venetio beanie wmn;red;Women;ACCs;Beanie;Venetio;No;3390
G-Star RAW;D11357-A151-9700;Venetio scarf wmn;red;Women;ACCs;Accessories;Venetio;No;5990
G-Star RAW;D09172-A332-9434;Mozoe tote bag ao wmn;white;Women;ACCs;Bag;No;No;7590
G-Star RAW;D10025-A332-9434;Caisa backpack ao wmn;white;Women;ACCs;Backpack;Caisa;No;8490
G-Star RAW;D10033-A309-9434;Doeka scarf ao;white;Women;ACCs;Scarf;No;No;3390
G-Star RAW;D11296-A433-3036;Core hdd sw l/s;black;Men;APP MEN;Sweats;UOTF;No;7890
G-Star RAW;D08979-9040-8673;Motac-X dc 3d relaxed cropped;black;Men;APP MEN;Pants;Motac;No;13290
G-Star RAW;D10019-A327-8673;Rovic 3d straight tapered;black;Men;APP MEN;Pants;Rovic;No;10990
G-Star RAW;D08997-9288-6484;Rackam army bomber;black;Men;APP MEN;Jackets;Rackam;No;18790
G-Star RAW;D08999-9040-8673;Motac-X bomber;black;Men;APP MEN;Jackets;Motac;No;17990
G-Star RAW;D10063-9172-6484;Type C utility pm overshirt;black;Men;APP MEN;Overshirts;Type C;No;11790
G-Star RAW;D09472-A113-6384;Bristum utility clean service shirt s/s;black;Men;APP MEN;Shirts;Bristum;No;7090
G-Star RAW;D04457-1141-390;Dill r t l/s;black;Men;APP MEN;T-Shirt;No;No;3190
G-Star RAW;D08503-1141-390;Drillon r t s/s;black;Men;APP MEN;T-Shirt;No;No;2790
G-Star RAW;D08510-2757-390;Cadulor r t s/s;black;Men;APP MEN;T-Shirt;No;No;2390
G-Star RAW;D08936-336-6484;Tairi r t s/s;black;Men;APP MEN;T-Shirt;No;No;2790
G-Star RAW;D08938-4561-6484;Motac-X r t l/s;black;Men;APP MEN;T-Shirt;Motac;No;5490
G-Star RAW;D08940-336-6484;Tahire r t s/s;black;Men;APP MEN;T-Shirt;No;No;2790
