brand,article,name,color,gender,segment_hq,type,concept,fit,rrp
Levi's,10175,Armstrong Stretch Belt ,red,Men,ACCs,Belt,Armstrong,No,3420.0
Levi's,10176,Armstrong Stretch Belt ,white,Men,ACCs,Belt,Armstrong,No,3420.0
Levi's,10349,Levi's® X Bape® Bandana ,green,Women,ACCs,Bandana,Bape,No,2246.0
Levi's,10350,Levi's® X Bape® Bandana ,yellow,Women,ACCs,Bandana,Bape,No,2246.0
Levi's,10351,Levi's® X Bape® Bandana ,blue,Women,ACCs,Bandana,Bape,No,2246.0
Levi's,10299,Levi's® 2 Pack Solid Regular Cut Socks ,blue,Men,ACCs,Socks,Levi's,No,1575.0
Levi's,10318,Levi's® Pride 2 Pack Regular Cut Socks ,red,Men,ACCs,Socks,Levi's,No,1620.0
Levi's,10324,Levi's® Pride Short Cut 2-Pack Socks ,black,Men,ACCs,Socks,Levi's,No,1620.0
Levi's,10387,Athena Belt (Plus Size) ,pink,Women,ACCs,Belt,No,No,3146.0
Levi's,10381,Boxy Banana Sling Bag ,white,Women,ACCs,Bandana,No,No,3146.0
Levi's,10386,Boxy Banana Sling Bag ,green,Women,ACCs,Bag,No,No,3146.0
Levi's,10199,Chenango Reversible Belt ,green,Men,ACCs,Belt,No,No,4050.0
Levi's,10270,Hackensack Belt ,yellow,Men,ACCs,Belt,No,No,3420.0
Levi's,10280,Icon Belt ,blue,Men,ACCs,Belt,No,No,4320.0
Levi's,10281,Icon Belt ,yellow,Men,ACCs,Belt,No,No,4455.0
Levi's,10357,Vintage Modern Logo Beanie ,red,Women,ACCs,Beanie,Vintage,No,2246.0
Levi's,10358,Vintage Modern Logo Beanie ,black,Women,ACCs,Beanie,Vintage,No,2246.0
Levi's,10359,Vintage Modern Logo Beanie ,red,Women,ACCs,Beanie,Vintage,No,2246.0
Levi's,10363,Vintage Modern Logo Beanie ,black,Women,ACCs,Beanie,Vintage,No,2246.0
Levi's,10173,80's Wide T-Shirt ,pink,Men,APP MEN,T-Shirt,80,No,10350.0
Levi's,10174,80's Wide T-Shirt ,white,Men,APP MEN,T-Shirt,80,No,10350.0
Levi's,10001,1947 501® Men's Jeans ,black,Men,APP MEN,Jeans,501,Vintage,23400.0
Levi's,10002,1947 501® Men's Jeans ,black,Men,APP MEN,Jeans,501,Vintage,25020.0
Levi's,10003,1947 501® Men's Jeans ,black,Men,APP MEN,Jeans,501,Vintage,25020.0
Levi's,10007,1954 501® Men's Jeans ,black,Men,APP MEN,Jeans,501,Vintage,23400.0
Levi's,10008,1955 501® Men's Jeans ,black,Men,APP MEN,Jeans,501,Vintage,23400.0
Levi's,10009,1955 501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,25020.0
Levi's,10019,1984 501® Men's Jeans ,blue,Men,APP MEN,Jeans,501,Vintage,17820.0
Levi's,10020,501® '93 Cropped Men's Jeans ,blue,Men,APP MEN,Jeans,501,Vintage,8055.0
Levi's,10021,501® '93 Cut-Off 7 in. Mens Shorts ,green,Men,APP MEN,Shorts,501,No,5355.0
Levi's,10022,501® '93 Straight Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Straight,15120.0
Levi's,10023,501® '93 Straight Men's Jeans ,blue,Men,APP MEN,Jeans,501,Straight,13320.0
Levi's,10024,501® '93 Straight Men's Jeans ,blue,Men,APP MEN,Jeans,501,Straight,8055.0
Levi's,10025,501® '93 Straight Men's Jeans ,blue,Men,APP MEN,Jeans,501,Straight,8820.0
Levi's,10026,501® '93 Tie Dye Cut-Off 7 in. Mens Shorts ,yellow,Men,APP MEN,Shorts,501,No,5355.0
Levi's,10027,501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,13320.0
Levi's,10028,501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,5355.0
Levi's,10029,501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,6255.0
Levi's,10030,501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,6255.0
Levi's,10031,501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,8055.0
Levi's,10032,501® Original Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,8055.0
Levi's,10033,501® Original Fit Men's Jeans (Big & Tall) ,blue,Men,APP MEN,Jeans,501,Original,6255.0
Levi's,10034,501® Original Fit Ripped Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,7155.0
Levi's,10035,501® Original Fit Stretch Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,5355.0
Levi's,10036,501® Original Fit Stretch Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,5355.0
Levi's,10037,501® Original Fit Stretch Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,8055.0
Levi's,10038,501® Original Fit Stretch Men's Jeans (Big & Tall) ,blue,Men,APP MEN,Jeans,501,Original,6255.0
Levi's,10039,501® Original Fit Stretch Men's Jeans (Big & Tall) ,blue,Men,APP MEN,Jeans,501,Original,7155.0
Levi's,10040,501® Original Fit Twill Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,6255.0
Levi's,10041,501® Original Hemmed 9 in. Mens Shorts ,blue,Men,APP MEN,Shorts,501,No,4500.0
Levi's,10042,501® Original Shrink-to-Fit™ Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,5355.0
Levi's,10043,501® Shrink-to-Fit™ Men's Jeans (Big & Tall) ,blue,Men,APP MEN,Jeans,501,Original,6255.0
Levi's,10044,501® Slim Taper Fit Men's Jeans ,blue,Men,APP MEN,Jeans,501,Original,7155.0
